dmacode,weekid,impressions_Channel_01_delayed_lag_1_decay_0.05_delay_1,impressions_Channel_02_exponential_decay_0_length_0,impressions_Channel_03_geometric_max_lag_5_length_0.05,impressions_Channel_04_exponential_decay_0.5_length_2,impressions_Channel_05_delayed_lag_1_decay_0.04_delay_1,impressions_Channel_06_delayed_lag_1_decay_0.04_delay_1,impressions_Channel_07_delayed_lag_2_decay_0.1_delay_1,impressions_Channel_08_exponential_decay_0.5_length_2,impressions_Channel_09_exponential_decay_0.5_length_2,impressions_Channel_10_null_delayed_lag_5_decay_0.6_delay_1,impressions_Channel_11_delayed_lag_1_decay_0.05_delay_1,impressions_Channel_12_delayed_lag_8_decay_0.2_delay_3,impressions_Channel_13_delayed_lag_9_decay_0.7_delay_5,target_visits,control_01,control_02,control_03,control_04,control_05,control_06,control_07
643,9,204,3081,1040.998949,242645.5,11493,569,21605.72727,8238.5,1654.25,0.0,2898,10986.7515,266101.2421,42165,352.18,0.0,26.01,20.05,195931.53,6.969850419,4.24
643,10,127,2960,698.9999525,240792.5,13344,313,20664.90909,8437.25,1415.0,0.0,2693,10148.92674,301882.8689,41444,351.13,0.0,26.12,19.32,195553.29,6.983369167,4.07
643,11,113,2552,469.0998628,249653.25,4970,1422,18406.09091,7007.25,1432.5,0.0,2560,9773.183658,303318.9888,39999,355.86,0.0,24.79,18.7,195527.29,6.840202006,5.12
643,12,97,1976,23.45477108,233970.25,9835,1177,15395.18182,6399.25,1609.25,0.0,2873,7201.511834,273581.8471,38396,358.86,0.0,23.86,17.81,195509.09,6.895920729,4.76
643,13,101,1704,1.172484429,236849.25,15524,2635,13075.54545,6218.0,1728.75,0.0,2718,12050.66643,216760.4876,40650,360.87,0.0,23.21,16.74,195496.35,6.86222595,4.51
643,14,110,2206,0.058312206,237780.75,7202,752,12971.72727,8188.0,1803.75,0.0,2678,7198.892602,173650.1638,38074,362.63,0.0,22.76,15.84,195487.43,6.94905632,4.34
643,15,115,1719,0.002713438,248544.25,4051,653,12359.27273,8132.25,2701.0,0.0,2556,1047.826832,162951.7656,46621,364.47,0.0,22.44,14.95,195481.19,7.122818575,5.45
643,16,120,1957,208.050065,343375.5,4685,2071,14739.81818,7326.75,2668.0,0.0,2381,11.44539774,129138.3243,95249,360.6,0.0,21.89,14.29,194520.96,7.320180731,5.05
643,17,97,2439,13356.95667,391666.75,480,171,10356.90909,6069.5,2369.25,0.0,2270,84.24544354,64247.89629,84633,357.62,0.0,21.5,13.49,193848.8,7.293810748,4.77
643,18,80,2353,13237.30176,402394.0,2468,53,8831.545455,4300.25,2247.25,0.0,2483,412.9244498,18498.61633,74422,354.98,0.0,21.23,13.08,193378.29,7.543972676,4.57
643,19,84,1890,13904.86923,392376.5,10204,601,9629.363636,3243.0,2053.0,0.0,2286,83.68523079,2791.071345,61259,352.44,0.0,21.04,12.79,193048.93,7.596752916,4.43
643,20,88,2363,7151.445479,372488.0,4071,468,9159.181818,4614.0,1951.75,0.0,2124,8.500662075,203.7916603,61630,350.14,0.0,19.83,12.48,192551.88,7.443527525,5.58
643,21,82,2099,2526.422887,362535.25,1839,0,10289.72727,5015.75,2011.0,0.0,2320,12.28021033,129.8194582,65676,347.58,0.0,18.98,12.34,192203.94,7.248544863,5.16
643,22,105,3808,1777.41749,372412.25,6630,194,10890.90909,5747.25,1438.75,0.0,1945,50.06623667,532.4946241,67621,344.5,0.0,18.39,11.64,191960.38,7.186361222,4.86
643,23,93,1479,1532.867398,321342.75,4563,553,9861.090909,7017.25,1518.5,0.0,1889,1344.947972,3491.938277,57494,340.66,0.0,17.97,10.66,191789.89,7.055846127,4.65
643,24,109,4788,8831.841967,355731.25,3986,257,8428.636364,8118.5,1849.5,0.0,2186,7146.201189,18755.49731,65954,341.79,0.0,16.7,10.27,191983.03,6.849404834,5.8
643,25,102,3924,5945.891801,347600.0,1929,102,10987.63636,8673.0,2201.25,0.0,2189,8208.866974,64665.53024,63519,341.59,0.0,15.82,9.51,192118.23,6.695622837,5.35
643,26,94,5017,2347.394553,354569.0,960,142,11057.72727,7822.75,2301.0,0.0,2084,3262.672231,132004.8806,60041,340.75,0.0,15.2,9.28,192212.87,6.47804073,5.03
643,27,96,3057,2461.969944,326351.5,1800,619,12907.0,7894.25,2681.5,0.0,2144,7976.593832,169277.9346,58721,339.62,0.0,14.76,9.23,192279.12,6.25664008,4.81
643,28,109,1106,4844.599521,309178.25,2661,620,17391.54545,9305.75,3547.25,0.0,2334,7369.867748,176383.8347,64164,337.64,0.0,14.46,8.94,192325.49,6.332053898,4.66
643,29,135,3788,988.9274734,344966.25,1758,440,21590.27273,13220.75,4550.0,0.0,2679,4328.181824,195159.7631,68590,330.3,0.0,14.09,9.15,191424.64,6.370737346,4.54
643,30,125,4311,632.7448359,365312.75,1295,179,26867.27273,11394.75,4497.25,0.0,2583,11502.52412,201478.0977,70020,323.83,0.0,13.83,9.44,190794.05,6.340478825,4.46
643,31,108,4308,2850.287482,367954.75,1683,1032,24308.63636,10553.75,3792.75,0.0,2578,9969.59773,202757.3815,63810,318.31,0.0,13.65,9.8,190352.64,6.22925598,4.4
